,gdasCont,kor,kor_num,keyword,gdasScrVal,mbrNo,goodsNm
5457,보습도 좋고 용량이 휴대하기 편리해서 간편하게 사용하기 좋아요,보습도 좋고 용량이 휴대하기 편리해서 간편하게 사용하기 좋아요,5.0,편리 사용 휴대 용량 보습,8.0,M0000020685200,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5458,신랑주려고 샀어요 끈적한거 싫어하는데 그렇지 않아서 좋았데요,신랑주려고 샀어요 끈적한거 싫어하는데 그렇지 않아서 좋았데요,1.0,신랑,10.0,M0000021013754,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5459,주부습진이 있어서 손을 항상 촉촉하게 유지해야하는데 촉촉함이 오랴 지속돼서 좋았습니다,주부습진이 있어서 손을 항상 촉촉하게 유지해야하는데 촉촉함이 오랴 지속돼서 좋았습니다,4.0,유지 지속 주부 습진,10.0,M0000014942736,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5460,아 이거 향 미쳤습니다 일단 향이 좋고 매장가서 30분 넘게 핸드크림 냄새만 맡아봤는데 이게 젤 좋았어요 또 제가 진짜 건조한 편이여서 바르자마자 흡수도 잘되고 보습도 나쁘지않았던거같습니다 끈적임음 딱히 없었던거같아요 다 사용하면 다시 구매하려구요 ㅎㅎ,아 이거 향 미쳤습니다 일단 향이 좋고 매장가서 30분 넘게 핸드크림 냄새만 맡아봤는데 이게 젤 좋았어요 또 제가 진짜 건조한 편이여서 바르자마자 흡수도 잘되고 보습도 나쁘지않았던거같습니다 끈적임음 딱히 없었던거같아요 다 사용하면 다시 구매하려구요 ㅎㅎ,9.0,핸드 크림 냄새 건조 흡수 사용 보습 구매 매장,10.0,M0000016257812,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5461,다 써감 또 살것이오 잠시 세일하는 다른향으로 바람을 피웠으나 난 스태리나이트요  뚜껑 바꿔서 쓰고있음 뚜껑 넘나 불편함 집에 있는 폼클이나 크림 뚜껑이랑 바꿔 쓰시오들,다 써감 또 살것이오 잠시 세일하는 다른향으로 바람을 피웠으나 난 스태리나이트요  뚜껑 바꿔서 쓰고있음 뚜껑 넘나 불편함 집에 있는 폼클이나 크림 뚜껑이랑 바꿔 쓰시오들,8.0,뚜껑 폼클 바람 크림 스태리 나이트 불편 세일,10.0,M0000001737409,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5462,핸드크림향은 총 4종인데 제가 구입한거 외에 비바라핑크와 무화과 향 이 더 있어요 고민하다가 저는 요 두개로 했는데 요즘 마스크를 벗을 수 없으니까 직원분께 살짝 조언을 부탁드렸어요 제가 기존에 쓰던 핸드크림을 말씀드리고 요거랑 비슷한 계열의 향을 알 수 있을까요 했더니 스태리나이트를 추천해주셨어요 그리고 화이트레인은 워낙 베스트 템이라고해서 ㅋㅋ 함께 구입해봤어요 참고로 둘다 퍼퓸핸드크림이라 향이 아주 예술예술예술입니다 고급스러운 일랑일랑과 매혹적인 자스민 향기에 부드럽게 스며드는 머스크향& 34 이라고 홈페이지에 적혀있지만 그냥 비누냄새에요 맡아보면 그냥 하게 되는 향 저는 머스크 덕후라 발라보는 순간 마스크를 뚫고 향이 올라와서 ㅋㅋㅋㅋㅋ 방방뛰며 신났어요 향이 은은하게 강하면서도 부드러운 머스크 잔향이 잔잔하게 오래 가더라구요 ,핸드크림향은 총 4종인데 제가 구입한거 외에 비바라핑크와 무화과 향 이 더 있어요 고민하다가 저는 요 두개로 했는데 요즘 마스크를 벗을 수 없으니까 직원분께 살짝 조언을 부탁드렸어요 제가 기존에 쓰던 핸드크림을 말씀드리고 요거랑 비슷한 계열의 향을 알 수 있을까요 했더니 스태리나이트를 추천해주셨어요 그리고 화이트레인은 워낙 베스트 템이라고해서 ㅋㅋ 함께 구입해봤어요 참고로 둘다 퍼퓸핸드크림이라 향이 아주 예술예술예술입니다 고급스러운 일랑일랑과 매혹적인 자스민 향기에 부드럽게 스며드는 머스크향& 34 이라고 홈페이지에 적혀있지만 그냥 비누냄새에요 맡아보면 그냥 하게 되는 향 저는 머스크 덕후라 발라보는 순간 마스크를 뚫고 향이 올라와서 ㅋㅋㅋㅋㅋ 방방뛰며 신났어요 향이 은은하게 강하면서도 부드러운 머스크 잔향이 잔잔하게 오래 가더라구요 ,21.0,마스크 핸드 크림 퍼퓸 향기 머스크 비누 냄새 구입 고급 조언 추천 베스트 직원 예술 말씀 고민 무화과 기존 참고 덕후,8.0,M0000010765683,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5463,핸드크림향은 총 4종인데 제가 구입한거 외에 비바라핑크와 무화과 향 이 더 있어요 고민하다가 저는 요 두개로 했는데 요즘 마스크를 벗을 수 없으니까 직원분께 살짝 조언을 부탁드렸어요 제가 기존에 쓰던 핸드크림을 말씀드리고 요거랑 비슷한 계열의 향을 알 수 있을까요 했더니 스태리나이트를 추천해주셨어요 그리고 화이트레인은 워낙 베스트 템이라고해서 ㅋㅋ 함께 구입해봤어요 참고로 둘다 퍼퓸핸드크림이라 향이 아주 예술예술예술입니다 고급스러운 일랑일랑과 매혹적인 자스민 향기에 부드럽게 스며드는 머스크향& 34 이라고 홈페이지에 적혀있지만 그냥 비누냄새에요 맡아보면 그냥 하게 되는 향 저는 머스크 덕후라 발라보는 순간 마스크를 뚫고 향이 올라와서 ㅋㅋㅋㅋㅋ 방방뛰며 신났어요 향이 은은하게 강하면서도 부드러운 머스크 잔향이 잔잔하게 오래 가더라구요 ,핸드크림향은 총 4종인데 제가 구입한거 외에 비바라핑크와 무화과 향 이 더 있어요 고민하다가 저는 요 두개로 했는데 요즘 마스크를 벗을 수 없으니까 직원분께 살짝 조언을 부탁드렸어요 제가 기존에 쓰던 핸드크림을 말씀드리고 요거랑 비슷한 계열의 향을 알 수 있을까요 했더니 스태리나이트를 추천해주셨어요 그리고 화이트레인은 워낙 베스트 템이라고해서 ㅋㅋ 함께 구입해봤어요 참고로 둘다 퍼퓸핸드크림이라 향이 아주 예술예술예술입니다 고급스러운 일랑일랑과 매혹적인 자스민 향기에 부드럽게 스며드는 머스크향& 34 이라고 홈페이지에 적혀있지만 그냥 비누냄새에요 맡아보면 그냥 하게 되는 향 저는 머스크 덕후라 발라보는 순간 마스크를 뚫고 향이 올라와서 ㅋㅋㅋㅋㅋ 방방뛰며 신났어요 향이 은은하게 강하면서도 부드러운 머스크 잔향이 잔잔하게 오래 가더라구요 ,21.0,마스크 핸드 크림 퍼퓸 향기 머스크 비누 냄새 구입 고급 조언 추천 베스트 직원 예술 말씀 고민 무화과 기존 참고 덕후,10.0,M0000010765683,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5464,향이 너무 좋고 양도 많아서 맘 놓고 듬뿍 사용할 수 있어요  쓸 땨마다 주변 사람들이 향수 뿌렸나고 향이 너무 좋다고해요 ,향이 너무 좋고 양도 많아서 맘 놓고 듬뿍 사용할 수 있어요  쓸 땨마다 주변 사람들이 향수 뿌렸나고 향이 너무 좋다고해요 ,5.0,향수 사용 사람 주변 양도,10.0,M0000012535705,"C08"""
5465,벌써 다썻아여 향도 좋거 산뜻래요 부드럽고   ㅎ체고입니아,벌써 다썻아여 향도 좋거 산뜻래요 부드럽고   ㅎ체고입니아,2.0,다썻아여 체고입니아,10.0,M0000004124900,"C12"""
5466,다른 거 쓰다가 다시 쓰니까 정말 촉촉한 크림이라는 걸 알 수 있었어용 끈적거리지도 않고 좋아요,다른 거 쓰다가 다시 쓰니까 정말 촉촉한 크림이라는 걸 알 수 있었어용 끈적거리지도 않고 좋아요,1.0,크림,10.0,M0000011733921,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5467,여전히잘쓰고있어욤  향기도좋구 보습도잘되욤ㅎㅎ 많이안끈적거리구 쓰기편함 ,여전히잘쓰고있어욤  향기도좋구 보습도잘되욤ㅎㅎ 많이안끈적거리구 쓰기편함 ,2.0,보습도잘되욤 향기,10.0,M0000010941980,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5468,생자몽향이 좋아서 구매했는데 기름지지않고 보습은 적당해요,생자몽향이 좋아서 구매했는데 기름지지않고 보습은 적당해요,3.0,구매 자몽 보습,10.0,M0000010147055,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5469,향이 너무 좋아여 이름 그대로 화이트레인 향이에요 베이비파우더 향이 나는 것 같다가 자연의 향이 훅 들어와서 더 좋네요  0,향이 너무 좋아여 이름 그대로 화이트레인 향이에요 베이비파우더 향이 나는 것 같다가 자연의 향이 훅 들어와서 더 좋네요  0,6.0,자연 베이비 파우더 화이 트레인 이름,10.0,M0000016035668,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5470,다 좋은데 향이 뭐랄까   너무 아저씨 스킨 냄새라서 아쉬웠어요,다 좋은데 향이 뭐랄까   너무 아저씨 스킨 냄새라서 아쉬웠어요,3.0,냄새 아저씨 스킨,10.0,M0000019009768,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5471,이거 아쿠아디파르마 피코 같은 향 나요  막 끈적이지도 않아서 핸드크림 잘 안바흐는데도 열심히 바르고있어요,이거 아쿠아디파르마 피코 같은 향 나요  막 끈적이지도 않아서 핸드크림 잘 안바흐는데도 열심히 바르고있어요,5.0,바흐 핸드 크림 아쿠아디파르마 피코,10.0,M0000004731429,"C13"""
5472,아주 플로럴하지만은 않고 살짝 우디한 향이 있어서 독특했어요  보습이 아주 강하진 않고 적당 무난한 보습가입니다,아주 플로럴하지만은 않고 살짝 우디한 향이 있어서 독특했어요  보습이 아주 강하진 않고 적당 무난한 보습가입니다,5.0,독특 보습 플로럴 적당 우디,10.0,M0000011360937,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5473,일단 향이 최고   핸드크림 발랐을때 흡수안되고 겉도는걸 굉장히 싫어하는데 바로 흡수되어서 정말 좋았어요,일단 향이 최고   핸드크림 발랐을때 흡수안되고 겉도는걸 굉장히 싫어하는데 바로 흡수되어서 정말 좋았어요,4.0,흡수 핸드 크림 최고,10.0,M0000016244732,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5474,보습도 잘되고 끈적임도 없네요  잘 쓰고있습니다  좋아요,보습도 잘되고 끈적임도 없네요  잘 쓰고있습니다  좋아요,1.0,보습,10.0,M0000020636788,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5475,향 너무 좋아서 잘쓰고 있는 제품이에요  재구매 의사 있습니다,향 너무 좋아서 잘쓰고 있는 제품이에요  재구매 의사 있습니다,3.0,제품 의사 구매,10.0,M0000010851820,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5476,핸드크림 편하게 사용하기 좋아요   향도 좋고 지속력도 좋아요  ,핸드크림 편하게 사용하기 좋아요   향도 좋고 지속력도 좋아요  ,4.0,핸드 크림 사용 지속,10.0,M0000000243987,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5477,진짜 무화과 향이 나서 신기해요 흙냄새가 약간 나는 향이라 안좋아할수도 있을것같아요,진짜 무화과 향이 나서 신기해요 흙냄새가 약간 나는 향이라 안좋아할수도 있을것같아요,2.0,흙냄새 무화과,10.0,M0000003477357,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5478,냄새 느무 좋아요    뭔가   달달한데 묵직하고 상큼한 향이랄까 여름엔 좀 무겁게 느껴질듯 해요 글고 패키지가 예뽀요,냄새 느무 좋아요    뭔가   달달한데 묵직하고 상큼한 향이랄까 여름엔 좀 무겁게 느껴질듯 해요 글고 패키지가 예뽀요,5.0,예뽀 패키지 느무 여름 냄새,10.0,M0000019835269,C07
5479,순하고 좋아요 보습도 잘되고 좋습니당 향도 무난합니다  ,순하고 좋아요 보습도 잘되고 좋습니당 향도 무난합니다  ,1.0,보습,10.0,M0000003808581,C09
5480,비슷한 제품들 중에 고민하다가 세일하는걸로 골랐는데 너무 잘 쓰고 있어요 향도 진짜 좋고 안 질리고 오래 쓸 수 있을 것 같아요,비슷한 제품들 중에 고민하다가 세일하는걸로 골랐는데 너무 잘 쓰고 있어요 향도 진짜 좋고 안 질리고 오래 쓸 수 있을 것 같아요,3.0,제품 세일 고민,10.0,M0000010514039,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5481,향이 부담스럽지 않고 특히 발랐을 때 마무리 느낌이 끈적이지 않고 보송해서 좋아요 ,향이 부담스럽지 않고 특히 발랐을 때 마무리 느낌이 끈적이지 않고 보송해서 좋아요 ,3.0,부담 마무리 느낌,8.0,M0000014252584,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5482,향이 좋아요 끈적거리지 않고 보습감도 좋습니다  튜브링거 사용하면 남기지 않고 다 쓸수 있어요,향이 좋아요 끈적거리지 않고 보습감도 좋습니다  튜브링거 사용하면 남기지 않고 다 쓸수 있어요,4.0,사용 튜브 링거 보습,10.0,M0000011888107,C06
5483,하나 다 써서 다시 산건데 너무 좋아요 향이 너무너무 좋아요 잘 쓸게용,하나 다 써서 다시 산건데 너무 좋아요 향이 너무너무 좋아요 잘 쓸게용,0.0,,10.0,M0000019443944,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5484,싼 향이에요  펴퓸용으로 쓰고 싶다면 비싼 애들 쓰세요  향 상관 없다 싶으면 추천,싼 향이에요  펴퓸용으로 쓰고 싶다면 비싼 애들 쓰세요  향 상관 없다 싶으면 추천,3.0,펴퓸 추천 상관,6.0,M0000021382888,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5485,향기가 매우 좋고 보습감도 좋아요  끈적거리지않아서 손이 자주 가는거같아요 ㅎㅎ,향기가 매우 좋고 보습감도 좋아요  끈적거리지않아서 손이 자주 가는거같아요 ㅎㅎ,2.0,보습 향기,10.0,M0000003731963,C09
5486,잘 사용 합이다 지금 몇개째 구매중 보습감 좋아요 향은 냄새 좋아요,잘 사용 합이다 지금 몇개째 구매중 보습감 좋아요 향은 냄새 좋아요,4.0,냄새 구매 보습 사용,10.0,M0000011401645,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5487,보습력도 괜찮고 향도 머리 아프지 않고 끈적임도 없어서 좋아요 ,보습력도 괜찮고 향도 머리 아프지 않고 끈적임도 없어서 좋아요 ,2.0,보습 머리,10.0,M0000002675222,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5488,향이 쎄지 않고 좋아서 남자여자 상관없이 쓰기 딱이에요  ,향이 쎄지 않고 좋아서 남자여자 상관없이 쓰기 딱이에요  ,2.0,남자 여자,10.0,M0000003878510,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5489,향은 진짜 좋은데 딱 향에만 신경쓴 느낌   촉촉하지가 않아요 ㅠㅠ,향은 진짜 좋은데 딱 향에만 신경쓴 느낌   촉촉하지가 않아요 ㅠㅠ,2.0,신경 느낌,8.0,M0000017790313,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5490,끈적임 별로 없고 부드럽게 잘 발리네요  향도 거슬리지않고 좋습니다,끈적임 별로 없고 부드럽게 잘 발리네요  향도 거슬리지않고 좋습니다,0.0,,10.0,M0000003632042,C07
5491,패키지도 깔끔하고 향도 너무 상큼해요 보습감도 좋습니다 ,패키지도 깔끔하고 향도 너무 상큼해요 보습감도 좋습니다 ,3.0,깔끔 패키지 보습,10.0,M0000010436709,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5492,보습력 좋고 향도 자몽향이라서 좋아요 상큼상큼 봄이 쓰기 딱,보습력 좋고 향도 자몽향이라서 좋아요 상큼상큼 봄이 쓰기 딱,2.0,자몽 보습,10.0,M0000000320497,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5493,넘 촉촉하고 이거 바르고 나면 피부가 조아지는게 느껴져요 ㅎ 세일할때 구매해서 더 좋았고 재구매 하고싶은 제품이네요 ㅎ,넘 촉촉하고 이거 바르고 나면 피부가 조아지는게 느껴져요 ㅎ 세일할때 구매해서 더 좋았고 재구매 하고싶은 제품이네요 ㅎ,5.0,구매 제품 조아지 세일 피부,10.0,M0000011020319,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5494,딱 상큼한 자몽향으로 부담앖고 보습 뛰어나요  무회과도 나중에 싸보랴구요,딱 상큼한 자몽향으로 부담앖고 보습 뛰어나요  무회과도 나중에 싸보랴구요,6.0,싸보랴구 자몽 무회과 부담앖 나중 보습,10.0,M0000019009768,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5495,향이 너무좋고 흡수력도 괜찮은 것 같아요 보습감도 최고이구 세일 자주 했으면 좋겠네요,향이 너무좋고 흡수력도 괜찮은 것 같아요 보습감도 최고이구 세일 자주 했으면 좋겠네요,4.0,최고 보습 흡수력 세일,10.0,M0000012482752,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5496,향이 좋아 구매했습니다  보습력도 좋고 자꾸 킁킁 거리게 되네요,향이 좋아 구매했습니다  보습력도 좋고 자꾸 킁킁 거리게 되네요,2.0,구매 보습,10.0,M0000000393208,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5497,선물용으로 구매했는데 친구가 만족해하더라구요 ㅎㅎ 덕분에 뿌듯했습니다,선물용으로 구매했는데 친구가 만족해하더라구요 ㅎㅎ 덕분에 뿌듯했습니다,5.0,만족 선물 덕분 구매 친구,10.0,M0000002180463,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5498,자몽향 좋아하는 사람은 무조건 이거  생자몽향임 진짜향미침 지속력도좋음 ㅠ,자몽향 좋아하는 사람은 무조건 이거  생자몽향임 진짜향미침 지속력도좋음 ㅠ,4.0,지속 조건 사람 자몽,10.0,M0000021280830,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5499,올리브영에서 향 맡아보고 마음에 들어서 구매했어요 단점이 없는 무난한 제품입니다   ,올리브영에서 향 맡아보고 마음에 들어서 구매했어요 단점이 없는 무난한 제품입니다   ,5.0,올리브 제품 구매 마음 단점,10.0,M0000010871307,C03
5500,친구 추천으로 산건데 진심 인생 핸드크림 찾은거 같아요 냄새는 자몽냄새나구요 안끈적해서 좋아요   보습도 잘 되는거 같아요  묻어남도 없어요 ,친구 추천으로 산건데 진심 인생 핸드크림 찾은거 같아요 냄새는 자몽냄새나구요 안끈적해서 좋아요   보습도 잘 되는거 같아요  묻어남도 없어요 ,9.0,냄새 자몽 추천 보습 진심 핸드 크림 친구 인생,10.0,M0000020851757,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5501,항시 손을씻고 타상품을 바르면 조금더 건조한 느낌이 드는데 이 상품은 향기도 오래가고 너무너무 좋네영   ,항시 손을씻고 타상품을 바르면 조금더 건조한 느낌이 드는데 이 상품은 향기도 오래가고 너무너무 좋네영   ,4.0,건조 향기 상품 느낌,10.0,M0000012112933,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5502,막 끈적거리는 편은 아니였는데 냄새가 엄청 좋아요  ㅜ 애들이 다 너무 좋다고 이것만 발라요 ㅋㅋㅋ,막 끈적거리는 편은 아니였는데 냄새가 엄청 좋아요  ㅜ 애들이 다 너무 좋다고 이것만 발라요 ㅋㅋㅋ,1.0,냄새,10.0,M0000020721081,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5503,무화과향 찾다가 발견한 제품인데 조금 달긴한데 보습은 아주 좋아요    향따라 샀다가 제품력이 더 좋아서 반함  ,무화과향 찾다가 발견한 제품인데 조금 달긴한데 보습은 아주 좋아요    향따라 샀다가 제품력이 더 좋아서 반함  ,5.0,제품 제품력 발견 무화과 보습,10.0,M0000001288721,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5504,흠 꽃집향기를 생각했는데 튤립향만 나는 느낌  그래서 처음에는 머리가 좀 아프기도 했는데 시간이 지나니까 향이 약해지네요  1 2개월안에 써야 할 거 같아요 ,흠 꽃집향기를 생각했는데 튤립향만 나는 느낌  그래서 처음에는 머리가 좀 아프기도 했는데 시간이 지나니까 향이 약해지네요  1 2개월안에 써야 할 거 같아요 ,8.0,튤립 꽃집 향기 머리 느낌 생각 처음 시간,8.0,M0000000156194,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5505,자몽향은 사실 겨울에 안 어울린다고 생각했는데냄새가 너무 좋아서 구매했어요  정말 상큼해요 ,자몽향은 사실 겨울에 안 어울린다고 생각했는데냄새가 너무 좋아서 구매했어요  정말 상큼해요 ,5.0,생각 냄새 구매 자몽 겨울,10.0,M0000000156194,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5506,보습이 풍부하고 향도 좋아요 가볍고 끈적임도 없습니다 흡수도 좋아요,보습이 풍부하고 향도 좋아요 가볍고 끈적임도 없습니다 흡수도 좋아요,2.0,보습 흡수,10.0,M0000012653483,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5507,향이 꽤 독특합니다 또 다른 핸드크림보다 꾸덕해서 손을 씻고 물기가 있을 때 바르면 골고루 발라집니다 ,향이 꽤 독특합니다 또 다른 핸드크림보다 꾸덕해서 손을 씻고 물기가 있을 때 바르면 골고루 발라집니다 ,5.0,핸드 크림 물기 독특 꾸덕,10.0,M0000017614010,C02
5508,적당히 보습 촉촉하고 겨울에도 잘 썼어요 유명한 모 핸드크림은 너무 촉촉하지만 나중엔 건조해지거든요 근데 이건 촉촉한 게 오래가요ㄱ,적당히 보습 촉촉하고 겨울에도 잘 썼어요 유명한 모 핸드크림은 너무 촉촉하지만 나중엔 건조해지거든요 근데 이건 촉촉한 게 오래가요ㄱ,7.0,핸드 크림 건조 나중 보습 겨울 유명,8.0,M0000017776699,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5509,향도 좋구 보습이 미쳤어요 여태 바른 핸드크림 중에 보습 하나는 제일 좋았던거 같아요,향도 좋구 보습이 미쳤어요 여태 바른 핸드크림 중에 보습 하나는 제일 좋았던거 같아요,3.0,핸드 크림 보습,10.0,M0000011891223,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5510,향은 아주 만족스러움 끈적이지도 않고 적당히 보습력있음 패키지는 이전보다 튼튼해진듯함 디자인은 살짝 구려짐,향은 아주 만족스러움 끈적이지도 않고 적당히 보습력있음 패키지는 이전보다 튼튼해진듯함 디자인은 살짝 구려짐,4.0,디자인 보습 패키지 만족,10.0,M0000000315300,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5511,남자친구 선물로 줬는데 향 아주 마음에 들어하더라구요  ,남자친구 선물로 줬는데 향 아주 마음에 들어하더라구요  ,4.0,선물 남자 친구 마음,10.0,M0000014464884,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5512,남자친구가 핸드크림 필요하다고 해서 샀는데 잘쓰고 있어요 ㅎㅎ,남자친구가 핸드크림 필요하다고 해서 샀는데 잘쓰고 있어요 ㅎㅎ,5.0,필요 남자 친구 핸드 크림,10.0,M0000012347664,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5513,향도 좋고 보습력도 좋습니다 근데 지속력이 좀 더 강했으면 하네용,향도 좋고 보습력도 좋습니다 근데 지속력이 좀 더 강했으면 하네용,2.0,지속 보습,10.0,M0000013406561,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5514,돌고 돌아   다시 돌아왔습니다   진짜 향이 너무 좋아서 그리고 발림성도 끈적임 없이 딱 수분 충전만 해줘서   다시 정착할게요,돌고 돌아   다시 돌아왔습니다   진짜 향이 너무 좋아서 그리고 발림성도 끈적임 없이 딱 수분 충전만 해줘서   다시 정착할게요,4.0,충전 정착 수분 발림,10.0,M0000004074344,C06
5515,진짜 완전 생 자몽향이라서 바르면 주변에서 향 너무 좋다고 어떤 제품이냐고 물어봐요  보습력도 괜찮고 끈적이지도 않아서 재구매할 것 같습니다 ,진짜 완전 생 자몽향이라서 바르면 주변에서 향 너무 좋다고 어떤 제품이냐고 물어봐요  보습력도 괜찮고 끈적이지도 않아서 재구매할 것 같습니다 ,5.0,제품 구매 자몽 주변 보습,10.0,M0000004620155,C08
5516,보습 잘 되고 안끈적거려서 좋아요 근데 향이 좀 강해서 잘 안쓰게 돼요,보습 잘 되고 안끈적거려서 좋아요 근데 향이 좀 강해서 잘 안쓰게 돼요,1.0,보습,10.0,M0000016945316,스카이보틀 비바라핑크 퍼퓸 핸드크림 50ml
5517,대용량이라 막 바르기 너무 좋고 향도 은은하니 취향저격 ㅠㅠ 다 쓰면 바로 다시 사려고요 화이트레인이 유명한 이유를 알겠어요,대용량이라 막 바르기 너무 좋고 향도 은은하니 취향저격 ㅠㅠ 다 쓰면 바로 다시 사려고요 화이트레인이 유명한 이유를 알겠어요,6.0,용량 화이 트레인 이유 취향저격 유명,10.0,M0000010105749,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5518,새로운 핸드크림 사용해보고싶어 구매해봤는데 만족스러워요  ,새로운 핸드크림 사용해보고싶어 구매해봤는데 만족스러워요  ,5.0,만족 구매 사용 핸드 크림,10.0,M0000000243987,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5519,발림성 좋고 촉촉한데 향이 정말 좋아요 다른 사람들도 좋다고 함,발림성 좋고 촉촉한데 향이 정말 좋아요 다른 사람들도 좋다고 함,2.0,사람 발림,10.0,M0000012930499,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5520,향도 좋고 보습력도 나쁘지 않아요  전반적으로 만족합니다,향도 좋고 보습력도 나쁘지 않아요  전반적으로 만족합니다,3.0,만족 전반 보습,10.0,M0000016260845,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5521,항상 쓰고 있어요 이쁘고 향도 좋은데 막 보습력이 뛰어난 건 아닌 것 가탕요,항상 쓰고 있어요 이쁘고 향도 좋은데 막 보습력이 뛰어난 건 아닌 것 가탕요,2.0,가탕요 보습,10.0,M0000020411887,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5522,남친 선물해줬는데 향수처럼 향도 진하고 좋아요  남녀공용으로도 괜찮은거같아요,남친 선물해줬는데 향수처럼 향도 진하고 좋아요  남녀공용으로도 괜찮은거같아요,5.0,선물 향수 남녀 공용 남친,10.0,M0000002390257,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5523,끈적이는거 정말 싫어하고 손이 건조하지만  묽은 핸드크림 사용 후 종이 만지면 나는 느낌을 정말정말 싫어했는데 스카이보틀 핸드크림은 보습력도 너무 즇고 끈적이는 것 없어서 정착했습니다 4통째 쓰고있어요  ,끈적이는거 정말 싫어하고 손이 건조하지만  묽은 핸드크림 사용 후 종이 만지면 나는 느낌을 정말정말 싫어했는데 스카이보틀 핸드크림은 보습력도 너무 즇고 끈적이는 것 없어서 정착했습니다 4통째 쓰고있어요  ,10.0,핸드 크림 건조 종이 느낌 사용 정착 보습 스카이 보트,10.0,M0000011427796,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5524,울딸은 향이 좋다는데 전 너무 머리아프고 별로더라고요  향이 넘 진하고 오래가서 전 별루예요 ,울딸은 향이 좋다는데 전 너무 머리아프고 별로더라고요  향이 넘 진하고 오래가서 전 별루예요 ,1.0,머리,6.0,M0000020337338,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5525,두번째 구매    너무 향좋아요 잘쓰고 있어요 또 벌써 다써가네요,두번째 구매    너무 향좋아요 잘쓰고 있어요 또 벌써 다써가네요,1.0,구매,10.0,M0000002175285,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
5526,냄새도 너무 좋고 끈적거리지않아요  겨울도 여름에도 다 좋을거같아요  깔끔한 비누향   이라고 해야하나  ,냄새도 너무 좋고 끈적거리지않아요  겨울도 여름에도 다 좋을거같아요  깔끔한 비누향   이라고 해야하나  ,5.0,비누 냄새 깔끔 여름 겨울,10.0,M0000010242087,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1
